中文名,拉丁名,保护级别,科,family,目,order,纲,class,主管部门
花鳗鲡,Anguilla marmorata,Ⅱ,鳗鲡科,Anguillidae,鳗鲡目,Anguilliformes,鱼纲,Pisces,渔业
川陕哲罗鲑,Hucho bleekeri,Ⅱ,鲑科,Salmonidae,鲑形目,Salmoniformes,鱼纲,Pisces,渔业
秦岭细鳞鲑,Brachymystax lenok tsinlingensis,Ⅱ,鲑科,Salmonidae,鲑形目,Salmoniformes,鱼纲,Pisces,渔业
中华鲟,Acipenser sinensis,Ⅰ,鲟科,Acipenseridae,鲟形目,Acipenseriformes,鱼纲,Pisces,渔业
达氏鲟,Acipenser dabryanus,Ⅰ,鲟科,Acipenseridae,鲟形目,Acipenseriformes,鱼纲,Pisces,渔业
白鲟,Psephurus gladius,Ⅰ,匙吻鲟科,Polyodontidae,鲟形目,Acipenseriformes,鱼纲,Pisces,渔业
文昌鱼,Branchiotoma belcheri,Ⅱ,文昌鱼科,Branchiostomatidae,文昌鱼目,Amphioxiformes,文昌鱼纲,Appendicularia,渔业
红珊瑚,Corallium,Ⅰ,红珊瑚科,Coralliidae,柳珊瑚目,Gorgonacea,珊瑚纲,Anthozoa,渔业
虎斑宝贝,Cypraea tigris,Ⅱ,宝贝科,Cypraeidae,中腹足目,Mesogastropoda,腹足纲,Gastropoda,渔业
冠螺,Cassis cornuta,Ⅱ,冠螺科,Cassididae,中腹足目,Mesogastropoda,腹足纲,Gastropoda,渔业
大珠母贝,Pinctada maxima,Ⅱ,珍珠贝科,Pteriidae,异柱目,Anisomyaria,瓣鳃纲,Lamellibranchia,渔业
库氏砗磲,Tridacna cookiana,Ⅰ,砗磲科,Tridacnidae,真瓣鳃目,Eulamellibranchia,瓣鳃纲,Lamellibranchia,渔业
佛耳丽蚌,Lamprotula mansuyi,Ⅱ,蚌科,Unionidae,真瓣鳃目,Eulamellibranchia,瓣鳃纲,Lamellibranchia,渔业
鹦鹉螺,Nautilus pompilius,Ⅰ,鹦鹉螺科,Nautilidae,四鳃目,Tetrabranchia,头足纲,Cephalopoda,渔业
伟铗𧈢,Atlasjapyx atlas,Ⅱ,铗𧈢科,Japygidae,双尾目,Diplura,昆虫纲,Insecta,林业
尖板曦箭蜓,Heliogomphus retroflexus,Ⅱ,箭蜓科,Gomphidae,蜻蜓目,Odonata,昆虫纲,Insecta,林业
宽纹北箭蜓,Ophiogomphus spinicorne,Ⅱ,箭蜓科,Gomphidae,蜻蜓目,Odonata,昆虫纲,Insecta,林业
中华缺翅虫,Zorotypus sinensis,Ⅱ,缺翅虫科,Zorotypidae,缺翅目,Zoraptera,昆虫纲,Insecta,林业
墨脱缺翅虫,Zorotypus medoensis,Ⅱ,缺翅虫科,Zorotypidae,缺翅目,Zoraptera,昆虫纲,Insecta,林业
中华蛩蠊,Galloisiana sinensis,Ⅰ,蛩蠊科,Grylloblattidae,蛩蠊目,Grylloblattodae,昆虫纲,Insecta,林业
拉步甲,Carabus (Coptolabrus) lafossei,Ⅱ,步甲科,Carabidae,鞘翅目,Coleoptera,昆虫纲,Insecta,林业
硕步甲,Carabus (Apotopterus) davidi,Ⅱ,步甲科,Carabidae,鞘翅目,Coleoptera,昆虫纲,Insecta,林业
彩臂金龟（所有种）,Cheirotonus spp.,Ⅱ,臂金龟科,Euchiridae,鞘翅目,Coleoptera,昆虫纲,Insecta,林业
叉犀金龟,Allomyrina davidis,Ⅱ,犀金龟科,Dynastidae,鞘翅目,Coleoptera,昆虫纲,Insecta,林业
金斑喙凤蝶,Teinopalpus aureus,Ⅰ,凤蝶科,Papilionidae,鳞翅目,Lepidoptera,昆虫纲,Insecta,林业
双尾褐凤蝶,Bhutanitis mansfieldi,Ⅱ,凤蝶科,Papilionidae,鳞翅目,Lepidoptera,昆虫纲,Insecta,林业
三尾褐凤蝶,Bhutanitis thaidina dongchuanensis,Ⅱ,凤蝶科,Papilionidae,鳞翅目,Lepidoptera,昆虫纲,Insecta,林业
中华虎凤蝶,Luehdorfia chinensis huashanensis,Ⅱ,凤蝶科,Papilionidae,鳞翅目,Lepidoptera,昆虫纲,Insecta,林业
阿波罗绢蝶,Parnassius apollo,Ⅱ,绢蝶科,Parnassidae,鳞翅目,Lepidoptera,昆虫纲,Insecta,林业
多鳃孔舌形虫,Glossobalanus polybranchioporus,Ⅰ,柱头虫科,Balanoglossidae,,,肠鳃纲,Enteropneusta,渔业
黄岛长吻虫,Saccoglossus hwangtauensis,Ⅰ,玉钩虫科,Harrimaniidae,,,肠鳃纲,Enteropneusta,渔业
